City,AccentCity,ProvinceName,Latitude,Longitude,ProvinceID
barkly bridge,Barkly Bridge,Eastern Cape,-33.616667,25.7,5
barkly east,Barkly East,Eastern Cape,-30.968301,27.595673,5
barkly-oos,Barkly-Oos,Eastern Cape,-30.968301,27.595673,5
barracuda,Barracuda,Eastern Cape,-32.735163,28.287093,5
bashee,Bashee,Eastern Cape,-32.115501,28.67606,5
bashee bridge,Bashee Bridge,Eastern Cape,-31.916667,28.45,5
basheebrug,Basheebrug,Eastern Cape,-31.916667,28.45,5
bathurst,Bathurst,Eastern Cape,-33.499804,26.829402,5
batweni,Batweni,Eastern Cape,-31.533333,29.3,5
baviaanskloof farming community,Baviaanskloof Farming Community,Eastern Cape,-33.6,24.133333,5
bawa,Bawa,Eastern Cape,-32.422922,28.111211,5
bay view,Bay View,Eastern Cape,-32.923504,28.034424,5
bayview,Bayview,Eastern Cape,-32.671343,28.300868,5
baziya,Baziya,Eastern Cape,-31.613168,28.418368,5
beacon bay,Beacon Bay,Eastern Cape,-32.97032,27.944036,5
beacon hill,Beacon Hill,Eastern Cape,-32.729857,28.000227,5
beamont,Beamont,Eastern Cape,-31.548076,26.707804,5
beans river,Beans River,Eastern Cape,-33.3,25.716667,5
beauly,Beauly,Eastern Cape,-31.65,27.433333,5
bebeza,Bebeza,Eastern Cape,-30.524652,27.658537,5
bede,Bede,Eastern Cape,-32.200361,26.827204,5
bedford,Bedford,Eastern Cape,-32.679034,26.086861,5
beecham wood,Beecham Wood,Eastern Cape,-32.338203,28.707428,5
beecham wood kampplek,Beecham Wood Kampplek,Eastern Cape,-32.35,28.75,5
beecham woods,Beecham Woods,Eastern Cape,-32.338203,28.707428,5
bees vallev,Bees Vallev,Eastern Cape,-30.569117,29.004395,5
begha mouth,Begha Mouth,Eastern Cape,-33.379369,27.322371,5
bekileni,Bekileni,Eastern Cape,-31.876602,28.170988,5
bele,Bele,Eastern Cape,-31.303355,28.656998,5
beledale,Beledale,Eastern Cape,-31.303355,28.656998,5
belekana,Belekana,Eastern Cape,-31.844755,28.683766,5
belekence,Belekence,Eastern Cape,-31.097163,28.772202,5
belfort,Belfort,Eastern Cape,-30.179758,28.717665,5
bell,Bell,Eastern Cape,-33.247214,27.358529,5
bellavista,Bellavista,Eastern Cape,-31.778099,26.118777,5
bellcrest,Bellcrest,Eastern Cape,-33.558047,26.55088,5
bellevue,Bellevue,Eastern Cape,-31.535112,26.509596,5
bellevue location,Bellevue Location,Eastern Cape,-33.369218,25.959145,5
bellrock,Bellrock,Eastern Cape,-31.914108,28.578945,5
